ADC,0001,11xx,xxxx,xxxx
ADD,0000,11xx,xxxx,xxxx
ADIW,1001,0110,xxxx,xxxx
AND,0010,00xx,xxxx,xxxx
ANDI,0111,xxxx,xxxx,xxxx
ASR,1001,010x,xxxx,0101
BCLR,1001,0100,1xxx,1000
BLD,1111,100x,xxxx,0xxx
BRBC,1111,01xx,xxxx,xxxx
BRBS,1111,00xx,xxxx,xxxx
BRCC,1111,01xx,xxxx,x000
BRCS,1111,00xx,xxxx,x000
BREAK,1001,0101,1001,1000
BREQ,1111,00xx,xxxx,x001
BRGE,1111,01xx,xxxx,x100
BRHC,1111,01xx,xxxx,x101
BRHS,1111,00xx,xxxx,x101
BRID,1111,01xx,xxxx,x111
BRIE,1111,00xx,xxxx,x111
BRLO,1111,00xx,xxxx,x000
BRLT,1111,00xx,xxxx,x100
BRMI,1111,00xx,xxxx,x010
BRNE,1111,01xx,xxxx,x001
BRPL,1111,01xx,xxxx,x010
BRSH,1111,01xx,xxxx,x000
BRTC,1111,01xx,xxxx,x110
BRTS,1111,00xx,xxxx,x110
BRVC,1111,01xx,xxxx,x011
BRVS,1111,00xx,xxxx,x011
BSET,1001,0100,0xxx,1000
BST,1111,101x,xxxx,0xxx
CALL,1001,010x,xxxx,111x
CBI,1001,1000,xxxx,xxxx
CBR,0111,xxxx,xxxx,xxxx
CLC,1001,0100,1000,1000
CLH,1001,0100,1101,1000
CLI,1001,0100,1111,1000
CLN,1001,0100,1010,1000
CLR,0010,01xx,xxxx,xxxx
CLS,1001,0100,1100,1000
CLT,1001,0100,1110,1000
CLV,1001,0100,1011,1000
CLZ,1001,0100,1001,1000
COM,1001,010x,xxxx,0000
CP,0001,01xx,xxxx,xxxx
CPC,0000,01xx,xxxx,xxxx
CPI,0011,xxxx,xxxx,xxxx
CPSE,0001,00xx,xxxx,xxxx
DEC,1001,010x,xxxx,1010
DES,1001,0100,xxxx,1011
EICALL,1001,0101,0001,1001
EIJMP,1001,0100,0001,1001
ELPM1,1001,0101,1101,1000
ELPM2,1001,000x,xxxx,0110
ELPM3,1001,000x,xxxx,0111
EOR,0010,01xx,xxxx,xxxx
FMUL,0000,0011,0xxx,1xxx
FMULS,0000,0011,1xxx,0xxx
FMULSU,0000,0011,1xxx,1xxx
ICALL,1001,0101,0000,1001
IJMP,1001,0100,0000,1001
IN,1011,0xxx,xxxx,xxxx
INC,1001,010x,xxxx,0011
JMP,1001,010x,xxxx,110x
LAC,1001,001x,xxxx,0110
LAS,1001,001x,xxxx,0101
LAT,1001,001x,xxxx,0111
LD1,1001,000x,xxxx,1100
LD2,1001,000x,xxxx,1101
LD3,1001,000x,xxxx,1110
LDD_Y1,1000,000x,xxxx,1000
LDD_Y2,1001,000x,xxxx,1001
LDD_Y3,1001,000x,xxxx,1010
LDD_4,10x0,xx0x,xxxx,1xxx
LDD_Z1,1000,000x,xxxx,0000
LDD_Z2,1001,000x,xxxx,0001
LDD_Z3,1001,000x,xxxx,0010
LDD_Z4,10x0,xx0x,xxxx,0xxx
LDI,1110,xxxx,xxxx,xxxx
LDS,1001,000x,xxxx,0000
LPM1,1001,0101,1100,1000
LPM2,1001,000x,xxxx,0100
LPM3,1001,000x,xxxx,0101
LSL,0000,11xx,xxxx,xxxx
LSR,1001,010x,xxxx,0110
MOV,0010,11xx,xxxx,xxxx
MOVW,0000,0001,xxxx,xxxx
MUL,1001,11xx,xxxx,xxxx
MULSU,0000,0011,0xxx,0xxx
NEG,1001,010x,xxxx,0001
NOP,0000,0000,0000,0000
OR,0010,10xx,xxxx,xxxx
ORI,0110,xxxx,xxxx,xxxx
OUT,1011,1xxx,xxxx,xxxx
POP,1001,000x,xxxx,1111
PUSH,1001,001x,xxxx,1111
RCALL,1101,xxxx,xxxx,xxxx
RET,1001,0101,0000,1000
RETI,1001,0101,0001,1000
RJMP,1100,xxxx,xxxx,xxxx
ROL,0001,11xx,xxxx,xxxx
ROR,1001,010x,xxxx,0111
SBC,0000,10xx,xxxx,xxxx
SBCI,0100,xxxx,xxxx,xxxx
SBI,1001,1010,xxxx,xxxx
SBIC,1001,1001,xxxx,xxxx
SBIS,1001,1011,xxxx,xxxx
SBIW,1001,0111,xxxx,xxxx
SBR,0110,xxxx,xxxx,xxxx
SBRC,1111,110x,xxxx,0xxx
SBRS,1111,111x,xxxx,0xxx
SEC,1001,0100,0000,1000
SEH,1001,0100,0101,1000
SEI,1001,0100,0111,1000
SEN,1001,0100,0010,1000
SER,1110,1111,xxxx,1111
SES,1001,0100,0100,1000
SET,1001,0100,0110,1000
SEV,1001,0100,0011,1000
SEZ,1001,0100,0001,1000
SLEEP,1001,0101,1000,1000
SPM,1001,0101,1110,1000
SPM2,1001,0101,1110,1000
SPM2_4,1001,0101,1111,1000
ST1,1001,001x,xxxx,1100
ST2,1001,001x,xxxx,1101
ST3,1001,001x,xxxx,1110
ST_Y1,1000,001x,xxxx,1000
ST_Y2,1001,001x,xxxx,1001
ST_Y3,1001,001x,xxxx,1010
ST_Y4,10x0,xx1x,xxxx,1xxx
ST_Z1,1000,001x,xxxx,0000
ST_Z2,1001,001x,xxxx,0001
ST_Z3,1001,001x,xxxx,0010
ST_Z4,10x0,xx1x,xxxx,0xxx
STS,1001,001x,xxxx,0000
SUB,0001,10xx,xxxx,xxxx
SUBI,0101,xxxx,xxxx,xxxx
SWAP,1001,010x,xxxx,0010
TST,0010,00xx,xxxx,xxxx
WDR,1001,0101,1010,1000
XCH,1001,001x,xxxx,0100
